subProject,Sub Project Code,Community Type,Type,District,Contractor,Status,% Completion,Beneficiaries,subProject_clean,uuid,deviceId,subProject_LIPW,androidId,serial,osVersion,osName,device,model,user,host,lastConnected,location,deviceAccess,createUserId,createDate,updateUserId,lastUpdated,_merge
Rehabilitation of Small Earth Dam at  Damolgo-Baamogre,21533,Rural,Dam,NABDAM,Ko-omgongo Enterprise ,OnGoing,58.7,151,rehabilitation of small earth dam at damolgobaamogre,8ED1E369-688E-4FC4-B92E-391CC585FFD5,RP1A.200720.011,Rehabilitation of Small Earth Dam at  Damolgo-Baamogre,ffda39fb9f4b0d8b,ffda39fb9f4b0d8b,4.19.127,Linux,FP08,FP08,,hby,2025-08-29 10:41:36.680,"10.818318333333332,-0.7420983333333333",2.0,0.0,2024-09-13 16:46:00,20.0,2025-04-28 21:10:00,both
Construction of Small Earth Dam at Miranateng,21534,Rural,Dam,PUSIGA,Suwa Muda Enterprise,OnGoing,47.0,200,construction of small earth dam at miranateng,,,,,,,,,,,,,,,,,,,left_only
 MAINTENANCE OF 16.2HA CASHEW PLANTATION AT BULBIA ,20804,Rural,Climate Change,WEST MAMPRUSI,,Completed,100.0,41,maintenance of 162ha cashew plantation at bulbia,757DF63C-DEBE-45FD-8430-DAD390139DEB,EKEMP.M8.2020, MAINTENANCE OF 16.2HA CASHEW PLANTATION AT BULBIA ,8dd828ca02563756,M820202206443,3.18.79,Linux,m8,M8,,android157,2025-09-13 14:59:24.803,"10.346246666666667,-1.0344083333333332",2.0,0.0,2022-08-29 16:44:00,2.0,2024-01-28 17:26:00,both
 MAINTENANCE OF 2.3HA CASHEW PLANTATION AT ARUGBAL ,20806,Rural,Climate Change,TEMPANE,,Completed,100.0,10,maintenance of 23ha cashew plantation at arugbal,873C4EB3-70AD-47F9-8C3F-5E0F01B17F8F,RP1A.200720.011, MAINTENANCE OF 2.3HA CASHEW PLANTATION AT ARUGBAL ,b0cf46421b88ed24,b0cf46421b88ed24,4.19.127,Linux,M8,M8,,ekemp158,2024-10-15 05:59:17.797,"10.927555,-0.06285666666666666",2.0,0.0,2023-12-26 15:43:00,20.0,2024-09-30 11:31:00,both
Rehabilitation of Naturi Junc- Naturi Feeder Road (3.4km),20921,Rural,Feeder Road,CHEREPONI,Chassay Premium Limited,Completed,94.25,124,rehabilitation of naturi junc naturi feeder road 34km,3E716154-8BDC-4BE2-9B7D-F03FDABDCDAC,EKEMP.M8.2020,Rehabilitation of Naturi Junc- Naturi Feeder Road (3.4km),d9e16ad11d6b26ea,M820202206447,3.18.79,Linux,m8,M8,,android157,2024-11-21 03:20:27.683,"10.135631666666665,0.28869333333333336",2.0,0.0,2024-10-24 15:46:00,1138.0,2024-10-24 15:48:00,both
Rehabilitation of Songo-Songure Feeder Road (5.0km,20923,Rural,Feeder Road,GARU,Fuwab Company Limited,OnGoing,60.0,195,rehabilitation of songosongure feeder road 50km,,,,,,,,,,,,,,,,,,,left_only
"Rehabilitation of 10 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at KUBORI",21155,Rural,Climate Change,MAMPRUGU-MOAGDURI,,Completed,98.4,66,rehabilitation of 10 ha degraded communal land using cashew trees including 25000 seedling nursery at kubori,7BE41002-3D9A-4242-86C3-E8051782090D,RP1A.200720.011,"Rehabilitation of 10 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at KUBORI",c729b691e156f218,c729b691e156f218,4.19.127,Linux,M8,M8,,ekemp158,2025-07-04 01:19:12.760,"10.142146666666667,-1.2927466666666667",2.0,0.0,2025-01-11 16:28:00,1138.0,2025-05-01 21:22:00,both
"Rehabilitation of 10 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at Nyogbari community",21157,Rural,Climate Change,NABDAM,,Completed,100.0,66,rehabilitation of 10 ha degraded communal land using cashew trees including 25000 seedling nursery at nyogbari community,E52F14AC-ADCC-4CF6-A20B-41102EC78A2C,RP1A.200720.011,"Rehabilitation of 10 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at Nyogbari community",a4a2b9f091d898c4,a4a2b9f091d898c4,4.19.127,Linux,M8,M8,,ekemp158,2025-07-05 04:06:42.880,"10.768241666666665,-0.6268083333333333",2.0,0.0,2024-10-29 13:22:00,1138.0,2025-05-19 13:36:00,both
Rehabilitation of Small Earth Dam at Namasim,21255,Rural,Dam,EAST MAMPRUSI,Fm-Zanjina Enterprise Limited,OnGoing,21.2,181,rehabilitation of small earth dam at namasim,D2BA8014-86E5-4315-AD5D-5F29930D9713,RP1A.200720.011,Rehabilitation of Small Earth Dam at Namasim,259a8ff4dab8c1e9,259a8ff4dab8c1e9,4.19.127,Linux,M8,M8,,ekemp158,2025-04-02 20:15:36.060,"10.560973333333333,-0.3182183333333333",2.0,0.0,2024-04-18 22:11:00,20.0,2024-08-28 18:18:00,both
Rehabilitation of Dugout Yirangu,21257,Rural,Dam,MAMPRUGU-MOAGDURI,Abrakman Enterprise ,OnGoing,71.55,191,rehabilitation of dugout yirangu,D62C3A32-EF7E-4B2F-8F54-0792EF97E42E,RP1A.200720.011,Rehabilitation of Dugout Yirangu,815094310a0d54b2,815094310a0d54b2,4.19.127,Linux,M8,M8,,ekemp158,2025-06-27 09:43:00.787,"10.236076666666666,-1.277105",2.0,0.0,2024-11-11 17:17:00,1138.0,2024-11-11 17:30:00,both
Rehabilitation of Small Earth Dam at Doninga Delogsa,21272,Rural,Dam,BUILSA SOUTH,Maligu Investment Limited ,Terminated,2.0,83,rehabilitation of small earth dam at doninga delogsa,76177AB0-06AF-4349-A185-76F7FCC2AF6E,RP1A.200720.011,Rehabilitation of Small Earth Dam at Doninga Delogsa,ecd4f9de8aa50899,ecd4f9de8aa50899,4.19.127,Linux,FP08,FP08,,hby,2025-03-25 19:10:18.437,"10.608300000000002,-1.4224566666666665",2.0,0.0,2024-11-08 09:00:00,1138.0,2025-02-20 07:49:00,both
Rehabilitation of Small Earth Dam at Dusbuliga,21274,Rural,Dam,GARU,Akologo Enterprise Ltd,OnGoing,73.0,249,rehabilitation of small earth dam at dusbuliga,12E8CC9D-62D0-4152-B569-9D5EB1F05B84,RP1A.200720.011,Rehabilitation of Small Earth Dam at Dusbuliga,c6847fd4cb7ab3aa,c6847fd4cb7ab3aa,4.19.127,Linux,FP08,FP08,,hby,2025-05-06 16:00:48.280,"10.8513388,-0.126576",2.0,0.0,2025-02-10 17:05:00,20.0,2025-02-10 17:07:00,both
Rehabilitation of 10 degraded land using Cashew fruit trees including nursery at Nyandema,21289,Rural,Climate Change,BUILSA SOUTH,,Completed,100.0,66,rehabilitation of 10 degraded land using cashew fruit trees including nursery at nyandema,FD1B7A8A-35B8-4A1A-B239-A620FE831915,RP1A.200720.011,Rehabilitation of 10 degraded land using Cashew fruit trees including nursery at Nyandema,f3c4f2c4610d9600,f3c4f2c4610d9600,4.19.127,Linux,FP08,FP08,,hby,2025-08-28 12:19:28.780,"10.449102,-1.3100244",2.0,0.0,2025-03-07 16:29:00,1138.0,2025-03-07 16:35:00,both
Development of Gambaga College of Education Park,21291,Urban,Flood Mitigation Measures,EAST MAMPRUSI,THE SELECTOR COMPANY LTD.,OnGoing,61.65,73,development of gambaga college of education park,57D1B669-6746-4A38-A129-01198A9FA22A,RP1A.200720.011,Development of Gambaga College of Education Park,11bd432a608c2a1d,11bd432a608c2a1d,4.19.127,Linux,FP08,FP08,,hby,2025-09-24 07:10:26.253,"10.5284338,-0.4365301",2.0,0.0,2024-08-22 07:22:00,20.0,2025-02-13 10:38:00,both
Rehabilitation of Nansoni - Akromabila    Feeder Road (5.00 Km),21455,Rural,Feeder Road,CHEREPONI,YACKSON GHANA LIMITED,OnGoing,52.25,228,rehabilitation of nansoni  akromabila feeder road 500 km,D8654B3D-92F3-40B0-A7E6-F9EA566EB741,RP1A.200720.011,Rehabilitation of Nansoni - Akromabila    Feeder Road (5.00 Km),3279ebcbb2f02adf,3279ebcbb2f02adf,4.19.127,Linux,FP08,FP08,,hby,2025-04-30 08:37:47.900,"10.157361666666667,0.22631500000000002",2.0,0.0,2025-02-05 17:18:00,20.0,2025-03-20 20:47:00,both
Rehabilitation of Mimima - Boayini       Feeder Road (5.30 Km),21457,Rural,Feeder Road,WEST MAMPRUSI,Messrs Hypermomnt Construction Limited,OnGoing,35.2,215,rehabilitation of mimima  boayini feeder road 530 km,2D7244FD-34BA-4E6F-84F3-E9753866243A,RP1A.200720.011,Rehabilitation of Mimima - Boayini       Feeder Road (5.30 Km),807c67af5b159840,807c67af5b159840,4.19.127,Linux,FP08,FP08,,hby,2025-05-13 09:23:16.090,"10.520628333333331,-0.396745",2.0,0.0,2024-10-04 09:56:00,1138.0,2025-02-07 13:47:00,both
Construction of Small Earth Dam at Zangum,21523,Rural,Dam,WEST MAMPRUSI,Taweri Limited,OnGoing,51.75,249,construction of small earth dam at zangum,51E2FEFD-C0A2-45E3-A88B-3EF35C17C43F,RP1A.200720.011,Construction of Small Earth Dam at Zangum,366b2aefcccc5368,366b2aefcccc5368,4.19.127,Linux,FP08,FP08,,hby,2025-07-01 06:04:08.977,"10.397519999999998,-0.8288449999999999",2.0,0.0,2025-02-19 15:02:00,1138.0,2025-06-19 16:25:00,both
Construction of Small Earth Dam at Apodabogo ,21525,Rural,Dam,BAWKU WEST,Kpannyaraga GH Ltd,OnGoing,38.25,162,construction of small earth dam at apodabogo,5122A8B4-1A86-42AA-BBF7-B2FA1B0D5AA7,RP1A.200720.011,Construction of Small Earth Dam at Apodabogo ,a9797376c22c249e,a9797376c22c249e,4.19.127,Linux,FP08,FP08,,hby,2025-06-26 12:36:30.737,"10.798740000000002,-0.8647816666666667",2.0,0.0,2025-02-15 08:14:00,1138.0,2025-06-26 12:31:00,both
Rehabilitation of Kaadi  - Kulunvai   Feeder  Road (5.40 Km),21542,Rural,Feeder Road,BINDURI,AL-AMAF ENTERPRISE LIMITED,OnGoing,51.75,223,rehabilitation of kaadi  kulunvai feeder road 540 km,,,,,,,,,,,,,,,,,,,left_only
 MAINTENANCE OF 6.0HA CASHEW PLANTATION AT KPENTAUNG ,20794,Rural,Climate Change,BUNKPURUGU,,Completed,100.0,20,maintenance of 60ha cashew plantation at kpentaung,,,,,,,,,,,,,,,,,,,left_only
 MAINTENANCE OF 11.3 HA CASHEW PLANTATION AT LOAGRI ,20801,Rural,Climate Change,MAMPRUGU-MOAGDURI,,Completed,100.0,31,maintenance of 113 ha cashew plantation at loagri,1356AF31-B156-4AF7-8378-9B0B7E440D4E,RP1A.200720.011, MAINTENANCE OF 11.3 HA CASHEW PLANTATION AT LOAGRI ,bbf94920d4cd5f91,bbf94920d4cd5f91,4.19.127,Linux,FP08,FP08,,hby,2025-03-13 11:03:21.300,"10.840038333333332,-0.44334666666666667",2.0,0.0,2024-11-13 13:02:00,1138.0,2024-11-18 17:57:00,both
 MAINTENANCE OF 10HA CASHEW PLANTATION AT CHUCHULIGA AWENAGUUK ,20808,Rural,Climate Change,BUILSA NORTH,,Closed,40.6,34,maintenance of 10ha cashew plantation at chuchuliga awenaguuk,2A1050F8-4E5E-43A9-BDF4-279CA42D63C8,RP1A.200720.011, MAINTENANCE OF 10HA CASHEW PLANTATION AT CHUCHULIGA AWENAGUUK ,0f38bdbb2e62ce99,0f38bdbb2e62ce99,4.19.127,Linux,M8,M8,,ekemp158,2025-03-21 10:29:44.370,"10.795974999999999,-1.1746616666666665",2.0,0.0,2023-11-16 15:44:00,20.0,2024-10-03 20:50:00,both
Rehabilitation of Gbankoni - Nanjong No. 2 Feeder Road (6.9km),20919,Rural,Feeder Road,BUNKPURUGU,Amovbet Engineering Construction Limited,OnGoing,79.5,109,rehabilitation of gbankoni  nanjong no 2 feeder road 69km,52A582C7-D80B-4F91-ACA7-631A0A2E2136,EKEMP.M8.2020,Rehabilitation of Gbankoni - Nanjong No. 2 Feeder Road (6.9km),f6f022df8e8c10f5,M820202206401,3.18.79,Linux,m8,M8,,android157,2025-02-08 18:49:23.593,"10.433793,-0.118294",2.0,0.0,2024-09-18 09:14:00,20.0,2024-09-19 15:17:00,both
Rehabilitation of Kulsalboug - Zanlerigu  Feeder Road (2.1 km),20926,Rural,Feeder Road,NABDAM,Legico Enterprise Ltd,Completed,86.0,145,rehabilitation of kulsalboug  zanlerigu feeder road 21 km,AAE7B8D1-D3DD-47C0-AA01-E5968CC91851,RP1A.200720.011,Rehabilitation of Kulsalboug - Zanlerigu  Feeder Road (2.1 km),be2822259489fb0e,be2822259489fb0e,4.19.127,Linux,FP08,FP08,,hby,2025-07-29 09:08:53.690,"10.797198333333332,-0.8107716666666666",2.0,0.0,2024-10-04 11:11:00,20.0,2024-11-05 09:15:00,both
Completion of Small Earth Dam at Nayorku,20951,Rural,Dam,WEST MAMPRUSI,AFA INVESTMENTS LTD.,Completed,100.0,45,completion of small earth dam at nayorku,6F1F411B-D8E5-41B3-AB8F-7CAF3CC9565A,O11019,Completion of Small Earth Dam at Nayorku,ef75578e0b153fdc,JRR8G6Z5RO75WGDU,3.18.79,Linux,m8,M8,,android157,2024-03-29 13:00:05.587,"10.521415000000001,-0.39867833333333336",2.0,0.0,2024-03-21 14:47:00,20.0,2024-03-21 14:49:00,both
"Rehabilitation of 10 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at Bachonsa Nyambisa community",21151,Rural,Climate Change,BUILSA SOUTH,,OnGoing,60.0,71,rehabilitation of 10 ha degraded communal land using cashew trees including 25000 seedling nursery at bachonsa nyambisa community,B3E16E00-E50B-4381-A5FE-5B7DC4ADBA15,RP1A.200720.011,"Rehabilitation of 10 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at Bachonsa Nyambisa community",ab9d029001bd2e3b,ab9d029001bd2e3b,4.19.127,Linux,M8,M8,,ekemp158,2025-08-09 07:47:53.713,"10.442163333333333,-1.32274",2.0,0.0,2025-03-03 12:55:00,1138.0,2025-03-03 13:04:00,both
"Rehabilitation of 10 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at Bengula community",21158,Rural,Climate Change,PUSIGA,,OnGoing,74.0,66,rehabilitation of 10 ha degraded communal land using cashew trees including 25000 seedling nursery at bengula community,AC5359F3-D585-4D7E-873B-7FAFDA8417BC,RP1A.200720.011,"Rehabilitation of 10 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at Bengula community",215124068948b70a,215124068948b70a,4.19.127,Linux,M8,M8,,ekemp158,2025-09-23 20:20:29.450,"11.075038333333335,-0.08445",2.0,0.0,2025-02-04 11:31:00,1138.0,2025-02-28 12:33:00,both
"Rehabilitation of 10 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at NASUAN",21162,Rural,Climate Change,YUNYOO-NASUAN,,Completed,100.0,66,rehabilitation of 10 ha degraded communal land using cashew trees including 25000 seedling nursery at nasuan,4E491082-538F-4877-A963-815437A6FA1A,RP1A.200720.011,"Rehabilitation of 10 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at NASUAN",027023c796ab7104,027023c796ab7104,4.19.127,Linux,M8,M8,,ekemp158,2025-09-11 08:01:36.533,"10.514341666666667,-0.165775",2.0,0.0,2024-04-22 11:54:00,20.0,2025-09-06 22:02:00,both
Rehabilitation of Small Earth Dam at Kauk,21251,Rural,Dam,BUNKPURUGU,M. Baako Construction Works Limited,OnGoing,79.23,171,rehabilitation of small earth dam at kauk,F023E3A8-76DD-4B5B-A79E-BB917FB18BCA,EKEMP.M8.2020,Rehabilitation of Small Earth Dam at Kauk,fe53bdc6ae6d1227,M820202206193,3.18.79,Linux,m8,M8,,android157,2025-02-17 16:03:44.970,"10.518490000000002,0.08525833333333334",2.0,0.0,2024-10-30 13:36:00,1138.0,2025-02-06 12:53:00,both
Rehabilitation of Small Earth Dam at Nawaasa,21269,Rural,Dam,BUILSA NORTH,Bere-Som Company Limited ,OnGoing,10.4,109,rehabilitation of small earth dam at nawaasa,,,,,,,,,,,,,,,,,,,left_only
Rehabilitation of Small Earth Dam at Goohi Gozia,21276,Rural,Dam,NABDAM,Pedi Constructions Works Enterprise ,OnGoing,65.0,242,rehabilitation of small earth dam at goohi gozia,B189ED40-FFF8-476B-BC36-A5C91A17B5E4,RP1A.200720.011,Rehabilitation of Small Earth Dam at Goohi Gozia,b5586353ec095b17,b5586353ec095b17,4.19.127,Linux,FP08,FP08,,hby,2025-07-01 00:40:39.050,"10.849001666666668,-0.652645",2.0,0.0,2024-09-18 10:11:00,1138.0,2025-07-01 00:37:00,both
Rehabilitation of 8ha degraded land using Cashew fruit trees including nursery at Kamega,21287,Rural,Climate Change,BAWKU WEST,,OnGoing,42.25,64,rehabilitation of 8ha degraded land using cashew fruit trees including nursery at kamega,,,,,,,,,,,,,,,,,,,left_only
Rehabilitation of Azugyire - Achanyire Canal Feeder Road (3.40 Km),21451,Rural,Feeder Road,BUILSA NORTH,MAIDSAM COMPANY LTD,OnGoing,34.0,155,rehabilitation of azugyire  achanyire canal feeder road 340 km,44B744D7-E50E-47EC-84CB-5482965F6A40,RP1A.200720.011,Rehabilitation of Azugyire - Achanyire Canal Feeder Road (3.40 Km),f9d362553c8feb64,f9d362553c8feb64,4.19.127,Linux,FP08,FP08,,hby,2025-06-11 21:12:19.243,"10.8014076,-1.1963644",2.0,0.0,2024-08-29 10:53:00,1138.0,2025-06-02 17:39:00,both
Rehabilitation of Zanwara - Garigu Canal   Feeder Road (3.00 Km),21462,Rural,Feeder Road,MAMPRUGU-MOAGDURI,Messrs Kelladi Limited,OnGoing,12.82,228,rehabilitation of zanwara  garigu canal feeder road 300 km,,,,,,,,,,,,,,,,,,,left_only
Rehabilitation of Kongo Market - Pelungu   Feeder Road (5.00 Km),21501,Rural,Feeder Road,NABDAM,,Dropped,0.0,0,rehabilitation of kongo market  pelungu feeder road 500 km,,,,,,,,,,,,,,,,,,,left_only
Construction of Small Earth Dam at Gbiima,21519,Rural,Dam,MAMPRUGU-MOAGDURI,,OnGoing,26.0,104,construction of small earth dam at gbiima,7EF4177B-D1F6-48CC-97A1-A2BE12EF5218,RP1A.200720.011,Construction of Small Earth Dam at Gbiima,e9eb3b7a17a0ebf6,e9eb3b7a17a0ebf6,4.19.127,Linux,FP08,FP08,,hby,2025-07-13 15:51:18.637,"10.239508333333333,-1.2738450000000001",2.0,0.0,2024-11-08 11:49:00,1138.0,2025-04-05 16:13:00,both
Construction of Small Earth Dam at Zabugu  Kpalg ,21526,Rural,Dam,BAWKU ,CITIZEN HAQ VENTURES,OnGoing,63.96,185,construction of small earth dam at zabugu kpalg,,,,,,,,,,,,,,,,,,,left_only
 MAINTENANCE OF 3.9HA CASHEW PLANTATION AT KPEMALE ,20792,Rural,Climate Change,BUNKPURUGU,,Completed,100.0,15,maintenance of 39ha cashew plantation at kpemale,,,,,,,,,,,,,,,,,,,left_only
 MAINTENANCE OF 9.8HA CASHEW PLANTATION AT NAMANGU ,20799,Rural,Climate Change,EAST MAMPRUSI,,Completed,100.0,28,maintenance of 98ha cashew plantation at namangu,EC6EDFF5-3A83-4077-8D40-06A0BC29BAC4,EKEMP.M8.2020, MAINTENANCE OF 9.8HA CASHEW PLANTATION AT NAMANGU ,f5d5d4c142ec1905,M820202206246,3.18.79,Linux,m8,M8,,android157,2024-10-15 17:14:01.847,"10.403375000000002,-0.5119866666666667",2.0,0.0,2024-04-23 12:04:00,20.0,2024-09-05 18:56:00,both
Rehabilitation of Akuyelingo - Tingre -Wegurigo Feeder Road (5.0km),20917,Rural,Feeder Road,BONGO,UMEX GHANA LIMITED,OnGoing,56.0,114,rehabilitation of akuyelingo  tingre wegurigo feeder road 50km,629E682D-7EB1-4A08-8F75-DF8C9EB3BA7C,RP1A.200720.011,Rehabilitation of Akuyelingo - Tingre -Wegurigo Feeder Road (5.0km),f3fcf453a0b4da9f,f3fcf453a0b4da9f,4.19.127,Linux,M8,M8,,ekemp158,2024-10-28 13:04:32.250,"10.905100000000001,-0.8147166666666668",2.0,0.0,2024-04-17 11:05:00,20.0,2024-10-02 09:52:00,both
Rehabilitation of Ajengo Natinga-  Tesnatinga Feeder Road (4.3km),20928,Rural,Feeder Road,PUSIGA,TUMSUNG CO. LTD,Paused,62.25,153,rehabilitation of ajengo natinga tesnatinga feeder road 43km,6BC29923-5B4C-4F6A-AD28-DB3A03C94CEB,RP1A.200720.011,Rehabilitation of Ajengo Natinga-  Tesnatinga Feeder Road (4.3km),e88339f050f182c3,e88339f050f182c3,4.19.127,Linux,M8,M8,,ekemp158,2025-03-22 07:36:20.650,"11.076036666666669,-0.13196166666666667",2.0,0.0,2025-03-02 13:05:00,1138.0,2025-03-02 13:06:00,both
Completion of Small Earth Dam at Mangor,20953,Rural,Dam,YUNYOO-NASUAN,Shahefac Enterprise ,OnGoing,63.2,191,completion of small earth dam at mangor,C1F8DE51-3FF3-46BE-8FE8-BDDC853165A8,RP1A.200720.011,Completion of Small Earth Dam at Mangor,ae24690c2a275637,ae24690c2a275637,4.19.127,Linux,M8,M8,,ekemp158,2025-06-10 15:43:19.587,"10.453023333333332,0.045656666666666665",2.0,0.0,2024-09-09 12:45:00,1167.0,2025-05-28 18:46:00,both
